MMWR-YEAR,MMWR-WEEK,DATE,CUMULATIVE RATE,WEEKLY RATE
2017,40,10/7/17,0.1,0.1
2017,41,10/14/17,0.2,0.1
2017,42,10/21/17,0.5,0.2
2017,43,10/28/17,0.7,0.2
2017,44,11/4/17,1,0.3
2017,45,11/11/17,1.3,0.3
2017,46,11/18/17,1.8,0.4
2017,47,11/25/17,2.5,0.8
2017,48,12/2/17,3.7,1.2
2017,49,12/9/17,5.1,1.4
2017,50,12/16/17,7.4,2.3
2017,51,12/23/17,12,4.6
2017,52,12/30/17,20.2,8.2
2018,1,1/6/18,30.5,10.2
2018,2,1/13/18,40.3,9.8
2018,3,1/20/18,49.2,8.9
2018,4,1/27/18,57.7,8.5
2018,5,2/3/18,65.5,7.8
2018,6,2/10/18,72.5,7
2018,7,2/17/18,78.8,6.3
2018,8,2/24/18,84,5.2
2018,9,3/3/18,87.5,3.6
2018,10,3/10/18,90.3,2.8
2018,11,3/17/18,93.1,2.8
2018,12,3/24/18,95.4,2.3
2018,13,3/31/18,97.6,2.2
2018,14,4/7/18,99.5,1.9
2018,15,4/14/18,100.8,1.3
2018,16,4/21/18,101.9,1
2018,17,4/28/18,102.9,1
2018,40,10/6/18,0.1,0.1
2018,41,10/13/18,0.2,0.1
2018,42,10/20/18,0.3,0.1
2018,43,10/27/18,0.4,0.1
2018,44,11/3/18,0.5,0.2
2018,45,11/10/18,0.7,0.2
2018,46,11/17/18,1,0.2
2018,47,11/24/18,1.3,0.3
2018,48,12/1/18,1.8,0.6
2018,49,12/8/18,2.5,0.7
2018,50,12/15/18,3.7,1.2
2018,51,12/22/18,5.6,1.9
2018,52,12/29/18,8.6,2.9
2019,1,1/5/19,11.6,3
2019,2,1/12/19,14.1,2.5
2019,3,1/19/19,16.3,2.1
2019,4,1/26/19,18.6,2.3
2019,5,2/2/19,21.6,3
2019,6,2/9/19,25,3.5
2019,7,2/16/19,28.9,3.8
2019,8,2/23/19,33.5,4.6
2019,9,3/2/19,38.1,4.6
2019,10,3/9/19,43.3,5.2
2019,11,3/16/19,48.8,5.5
2019,12,3/23/19,53.6,4.8
2019,13,3/30/19,57.2,3.6
2019,14,4/6/19,59.9,2.7
2019,15,4/13/19,61.7,1.8
2019,16,4/20/19,62.8,1.1
2019,17,4/27/19,63.6,0.8
2019,40,10/5/19,0.1,0.1
2019,41,10/12/19,0.2,0.1
2019,42,10/19/19,0.4,0.2
2019,43,10/26/19,0.6,0.2
2019,44,11/2/19,0.8,0.3
2019,45,11/9/19,1.1,0.3
2019,46,11/16/19,1.6,0.4
2019,47,11/23/19,2.2,0.7
2019,48,11/30/19,3.2,1
2019,49,12/7/19,4.5,1.3
2019,50,12/14/19,6.3,1.8
2019,51,12/21/19,8.8,2.5
2019,52,12/28/19,13.4,4.6
2020,1,1/4/20,18.9,5.5
2020,2,1/11/20,23.7,4.8
2020,3,1/18/20,28.1,4.4
2020,4,1/25/20,33,4.9
2020,5,2/1/20,38.6,5.6
2020,6,2/8/20,45,6.4
2020,7,2/15/20,50.2,5.1
2020,8,2/22/20,55.2,5.1
2020,9,2/29/20,59.5,4.3
2020,10,3/7/20,63.1,3.6
2020,11,3/14/20,65.1,1.9
2020,12,3/21/20,,
2020,13,3/28/20,,
2020,14,4/4/20,,
2020,15,4/11/20,,
2020,16,4/18/20,,
2020,17,4/25/20,,
