,Italy,"Korea, South",US,China
1/22/20,0,1,1,548
1/23/20,0,1,1,643
1/24/20,0,2,2,920
1/25/20,0,2,2,1406
1/26/20,0,3,5,2075
1/27/20,0,4,5,2877
1/28/20,0,4,5,5509
1/29/20,0,4,5,6087
1/30/20,0,4,5,8141
1/31/20,2,11,7,9802
2/1/20,2,12,8,11891
2/2/20,2,15,8,16630
2/3/20,2,15,11,19716
2/4/20,2,16,11,23707
2/5/20,2,19,11,27440
2/6/20,2,23,11,30587
2/7/20,3,24,11,34110
2/8/20,3,24,11,36814
2/9/20,3,25,11,39829
2/10/20,3,27,11,42354
2/11/20,3,28,12,44386
2/12/20,3,28,12,44759
2/13/20,3,28,13,59895
2/14/20,3,28,13,66358
2/15/20,3,28,13,68413
2/16/20,3,29,13,70513
2/17/20,3,30,13,72434
2/18/20,3,31,13,74211
2/19/20,3,31,13,74619
2/20/20,3,104,13,75077
2/21/20,20,204,15,75550
2/22/20,62,433,15,77001
2/23/20,155,602,15,77022
2/24/20,229,833,51,77241
2/25/20,322,977,51,77754
2/26/20,453,1261,57,78166
2/27/20,655,1766,58,78600
2/28/20,888,2337,60,78928
2/29/20,1128,3150,68,79356
3/1/20,1694,3736,74,79932
3/2/20,2036,4335,98,80136
3/3/20,2502,5186,118,80261
3/4/20,3089,5621,149,80386
3/5/20,3858,6088,217,80537
3/6/20,4636,6593,262,80690
3/7/20,5883,7041,402,80770
3/8/20,7375,7314,518,80823
3/9/20,9172,7478,583,80860
3/10/20,10149,7513,959,80887
3/11/20,12462,7755,1281,80921
3/12/20,12462,7869,1663,80932
3/13/20,17660,7979,2179,80945
3/14/20,21157,8086,2727,80977
3/15/20,24747,8162,3499,81003
3/16/20,27980,8236,4632,81033
3/17/20,31506,8320,6421,81058
3/18/20,35713,8413,7783,81102
3/19/20,41035,8565,13677,81156
3/20/20,47021,8652,19100,81250
3/21/20,53578,8799,25489,81305
3/22/20,59138,8961,33276,81435
3/23/20,63927,8961,43847,81498
3/24/20,69176,9037,53740,81591
3/25/20,74386,9137,65778,81661
3/26/20,80589,9241,83836,81782
3/27/20,86498,9332,101657,81897
3/28/20,92472,9478,121478,81999
3/29/20,97689,9583,140886,82122
3/30/20,101739,9661,161807,82198
