,Italy,"Korea, South",US,China
1/22/20,0.0,0.0,0.0,0.012142857142857143
1/23/20,0.0,0.0,0.0,0.012857142857142857
1/24/20,0.0,0.0,0.0,0.018571428571428572
1/25/20,0.0,0.0,0.0,0.03
1/26/20,0.0,0.0,0.0,0.04
1/27/20,0.0,0.0,0.0,0.05857142857142857
1/28/20,0.0,0.0,0.0,0.09357142857142857
1/29/20,0.0,0.0,0.0,0.095
1/30/20,0.0,0.0,0.0,0.12214285714285714
1/31/20,0.0,0.0,0.0,0.15214285714285714
2/1/20,0.0,0.0,0.0,0.185
2/2/20,0.0,0.0,0.0,0.25785714285714284
2/3/20,0.0,0.0,0.0,0.30357142857142855
2/4/20,0.0,0.0,0.0,0.3507142857142857
2/5/20,0.0,0.0,0.0,0.40214285714285714
2/6/20,0.0,0.0,0.0,0.4521428571428571
2/7/20,0.0,0.0,0.0,0.5128571428571429
2/8/20,0.0,0.0,0.0,0.575
2/9/20,0.0,0.0,0.0,0.6464285714285715
2/10/20,0.0,0.0,0.0,0.7228571428571429
2/11/20,0.0,0.0,0.0,0.7942857142857143
2/12/20,0.0,0.0,0.0,0.7978571428571428
2/13/20,0.0,0.0,0.0,0.9778571428571429
2/14/20,0.0,0.0,0.0,1.0864285714285715
2/15/20,0.0,0.0,0.0,1.187857142857143
2/16/20,0.0,0.0,0.0,1.2614285714285713
2/17/20,0.0,0.0,0.0,1.3314285714285714
2/18/20,0.0,0.0,0.0,1.4307142857142856
2/19/20,0.0,0.0,0.0,1.5114285714285713
2/20/20,0.0,0.01937984496124031,0.0,1.5985714285714285
2/21/20,0.01605136436597111,0.03875968992248062,0.0,1.5985714285714285
2/22/20,0.03210272873194222,0.03875968992248062,0.0,1.745
2/23/20,0.048154093097913325,0.11627906976744186,0.0,1.7464285714285714
2/24/20,0.11235955056179776,0.15503875968992248,0.0,1.8535714285714286
2/25/20,0.16051364365971107,0.19379844961240308,0.0,1.9035714285714285
2/26/20,0.1926163723916533,0.23255813953488372,0.0,1.9407142857142856
2/27/20,0.27287319422150885,0.25193798449612403,0.0,1.9614285714285715
2/28/20,0.33707865168539325,0.25193798449612403,0.0,1.9928571428571429
2/29/20,0.46548956661316215,0.31007751937984496,0.0030358227079538558,2.0264285714285712
3/1/20,0.5457463884430177,0.32945736434108525,0.0030358227079538558,2.0514285714285716
3/2/20,0.8346709470304976,0.5426356589147286,0.018214936247723135,2.0814285714285714
3/3/20,1.2680577849117176,0.5426356589147286,0.02125075895567699,2.105
3/4/20,1.7174959871589086,0.6782945736434108,0.033394049787492414,2.130714285714286
3/5/20,2.375601926163724,0.6782945736434108,0.03642987249544627,2.1535714285714285
3/6/20,3.1621187800963084,0.813953488372093,0.04250151791135398,2.1742857142857144
3/7/20,3.7399678972712684,0.8527131782945736,0.05160898603521555,2.1942857142857144
3/8/20,5.874799357945426,0.9689922480620154,0.06375227686703097,2.2142857142857144
3/9/20,7.431781701444623,1.0271317829457365,0.06678809957498483,2.230714285714286
3/10/20,10.12841091492777,1.0465116279069766,0.08500303582270796,2.242142857142857
3/11/20,13.274478330658107,1.1627906976744187,0.10928961748633881,2.257857142857143
3/12/20,13.274478330658107,1.2790697674418605,0.12143290831815423,2.2657142857142856
3/13/20,20.321027287319424,1.2790697674418605,0.14268366727383122,2.2714285714285714
3/14/20,23.130016051364368,1.3953488372093024,0.1639344262295082,2.2807142857142857
3/15/20,29.036918138041734,1.4534883720930232,0.19125683060109291,2.287857142857143
3/16/20,34.63884430176565,1.4534883720930232,0.2580449301760777,2.297857142857143
3/17/20,40.17656500802568,1.569767441860465,0.3278688524590164,2.307142857142857
3/18/20,47.80096308186196,1.627906976744186,0.358227079538555,2.315
3/19/20,54.65489566613162,1.7635658914728682,0.6071645415907712,2.3207142857142857
3/20/20,64.71910112359551,1.821705426356589,0.7407407407407408,2.3235714285714284
3/21/20,77.4478330658106,1.9767441860465116,0.9319975713418337,2.327857142857143
3/22/20,87.89727126805779,2.1511627906976742,1.2659380692167579,2.3385714285714285
3/23/20,97.54414125200643,2.1511627906976742,1.6909532483302976,2.3385714285714285
3/24/20,109.47030497592296,2.3255813953488373,2.1432908318154222,2.3435714285714284
3/25/20,120.43338683788123,2.441860465116279,2.859744990892532,2.3464285714285715
3/26/20,131.86195826645266,2.5387596899224807,3.6703096539162114,2.3507142857142855
3/27/20,146.6131621187801,2.693798449612403,4.7996357012750455,2.354285714285714
3/28/20,160.8828250401284,2.7906976744186047,6.150576806314512,2.3564285714285713
3/29/20,173.0176565008026,2.945736434108527,7.489374620522162,2.36
3/30/20,186.05136436597112,3.062015503875969,9.040680024286582,2.362857142857143
